timestep,x_smoothed_0,x_smoothed_1,P_smoothed_0_0,P_smoothed_0_1,P_smoothed_1_0,P_smoothed_1_1
94,-4.66292,3.79579,0.0780869,0,0,0.0780869
95,-4.68968,3.57797,0.0780869,0,0,0.0780869
96,-4.63606,3.39711,0.0780869,0,0,0.0780869
97,-4.55738,3.23287,0.0780869,0,0,0.0780869
98,-4.52548,3.05926,0.0780869,0,0,0.0780869
99,-4.56846,2.82975,0.0780869,0,0,0.0780869
100,-4.56661,2.59685,0.0780869,0,0,0.0780869
101,-4.54833,2.34751,0.0780869,0,0,0.0780869
102,-4.50239,2.27193,0.0780869,0,0,0.0780869
103,-4.50677,2.26067,0.0780869,0,0,0.0780869
104,-4.54744,2.23482,0.0780869,0,0,0.0780869
105,-4.54827,2.1947,0.0780869,0,0,0.0780869
106,-4.59875,2.14383,0.0780869,0,0,0.0780869
107,-4.65313,2.08721,0.0780869,0,0,0.0780869
108,-4.7614,2.12288,0.0780869,0,0,0.0780869
109,-4.80385,2.15885,0.0780869,0,0,0.0780869
110,-4.87124,2.15551,0.0780869,0,0,0.0780869
111,-4.92333,2.03335,0.0780869,0,0,0.0780869
112,-4.9837,1.94711,0.0780869,0,0,0.0780869
113,-4.96157,1.86479,0.0780869,0,0,0.0780869
114,-5.03047,1.98893,0.0780869,0,0,0.0780869
115,-5.06084,2.04513,0.0780869,0,0,0.0780869
116,-4.98494,2.05368,0.0780869,0,0,0.0780869
117,-4.97439,2.04762,0.0780869,0,0,0.0780869
118,-4.8555,2.14139,0.0780869,0,0,0.0780869
119,-4.73558,2.34577,0.0780869,0,0,0.0780869
120,-4.72573,2.54549,0.0780869,0,0,0.0780869
121,-4.78184,2.65672,0.0780869,0,0,0.0780869
122,-4.84823,2.68866,0.0780869,0,0,0.0780869
123,-4.95802,2.70227,0.0780869,0,0,0.0780869
124,-5.02119,2.72865,0.0780869,0,0,0.0780869
125,-5.12985,2.78264,0.0780869,0,0,0.0780869
126,-5.2144,2.93859,0.0780869,0,0,0.0780869
127,-5.3919,3.00385,0.0780869,0,0,0.0780869
128,-5.56022,3.08932,0.0780869,0,0,0.0780869
129,-5.65435,3.21335,0.0780869,0,0,0.0780869
130,-5.81197,3.38859,0.0780869,0,0,0.0780869
131,-5.86122,3.57639,0.0780869,0,0,0.0780869
132,-5.87395,3.60019,0.0780869,0,0,0.0780869
133,-5.86271,3.6093,0.0780869,0,0,0.0780869
134,-5.85344,3.60282,0.0780869,0,0,0.0780869
135,-5.84338,3.63346,0.0780869,0,0,0.0780869
136,-5.75652,3.64508,0.0780869,0,0,0.0780869
137,-5.66544,3.68128,0.0780869,0,0,0.0780869
138,-5.65433,3.7165,0.0780869,0,0,0.0780869
139,-5.60892,3.7543,0.0780869,0,0,0.0780869
140,-5.48613,3.7021,0.0780869,0,0,0.0780869
141,-5.2869,3.68736,0.0780869,0,0,0.0780869
142,-5.11475,3.6845,0.0780869,0,0,0.0780869
143,-4.92084,3.56397,0.0780869,0,0,0.0780869
144,-4.7602,3.55955,0.0780869,0,0,0.0780869
145,-4.68996,3.56025,0.0780869,0,0,0.0780869
146,-4.57163,3.51752,0.0780869,0,0,0.0780869
147,-4.31278,3.47925,0.0780869,0,0,0.0780869
148,-3.93813,3.40434,0.0780869,0,0,0.0780869
149,-3.57309,3.27419,0.0780869,0,0,0.0780869
150,-3.37416,3.15403,0.0780869,0,0,0.0780869
151,-3.2305,3.05207,0.0780869,0,0,0.0780869
152,-3.10878,3.01216,0.0780869,0,0,0.0780869
153,-3.06783,2.8977,0.0780869,0,0,0.0780869
154,-3.09013,2.8539,0.0780869,0,0,0.0780869
155,-3.07085,2.91416,0.0780869,0,0,0.0780869
156,-3.15702,3.00734,0.0780869,0,0,0.0780869
157,-3.21751,2.99408,0.0780869,0,0,0.0780869
158,-3.27865,2.99436,0.0780869,0,0,0.0780869
