timestep,x_predicted_0,x_predicted_1,P_predicted_0_0,P_predicted_0_1,P_predicted_1_0,P_predicted_1_1,x_updated_0,x_updated_1,innovation_0,innovation_1,S_0_0,S_0_1,S_1_0,S_1_1,P_updated_0_0,P_updated_0_1,P_updated_1_0,P_updated_1_1
34,-1.96689,4.29054,0.185078,0,0,0.185078,-1.7729,4.40874,0.718043,0.43751,0.685078,0,0,0.685078,0.135078,0,0,0.135078
35,-1.7729,4.40874,0.185078,0,0,0.185078,-1.55911,4.57205,0.79137,0.604501,0.685078,0,0,0.685078,0.135078,0,0,0.135078
36,-1.55911,4.57205,0.185078,0,0,0.185078,-1.32994,4.90509,0.8483,1.23276,0.685078,0,0,0.685078,0.135078,0,0,0.135078
37,-1.32994,4.90509,0.185078,0,0,0.185078,-1.34837,4.80923,-0.0682283,-0.354838,0.685078,0,0,0.685078,0.135078,0,0,0.135078
38,-1.34837,4.80923,0.185078,0,0,0.185078,-0.955001,4.79705,1.45607,-0.0450779,0.685078,0,0,0.685078,0.135078,0,0,0.135078
39,-0.955001,4.79705,0.185078,0,0,0.185078,-0.872856,5.05833,0.304065,0.967168,0.685078,0,0,0.685078,0.135078,0,0,0.135078
40,-0.872856,5.05833,0.185078,0,0,0.185078,-0.934797,5.47875,-0.229279,1.55618,0.685078,0,0,0.685078,0.135078,0,0,0.135078
41,-0.934797,5.47875,0.185078,0,0,0.185078,-1.04891,5.30142,-0.422412,-0.656391,0.685078,0,0,0.685078,0.135078,0,0,0.135078
42,-1.04891,5.30142,0.185078,0,0,0.185078,-1.17823,5.72905,-0.478656,1.58291,0.685078,0,0,0.685078,0.135078,0,0,0.135078
43,-1.17823,5.72905,0.185078,0,0,0.185078,-1.27775,5.82651,-0.368393,0.360767,0.685078,0,0,0.685078,0.135078,0,0,0.135078
44,-1.27775,5.82651,0.185078,0,0,0.185078,-0.98627,5.73829,1.07893,-0.326556,0.685078,0,0,0.685078,0.135078,0,0,0.135078
45,-0.98627,5.73829,0.185078,0,0,0.185078,-1.42759,5.61212,-1.63356,-0.467027,0.685078,0,0,0.685078,0.135078,0,0,0.135078
46,-1.42759,5.61212,0.185078,0,0,0.185078,-1.59469,5.8149,-0.618556,0.750598,0.685078,0,0,0.685078,0.135078,0,0,0.135078
47,-1.59469,5.8149,0.185078,0,0,0.185078,-1.58589,5.57603,0.0325774,-0.884189,0.685078,0,0,0.685078,0.135078,0,0,0.135078
48,-1.58589,5.57603,0.185078,0,0,0.185078,-1.07675,5.43512,1.88464,-0.521606,0.685078,0,0,0.685078,0.135078,0,0,0.135078
49,-1.07675,5.43512,0.185078,0,0,0.185078,-1.26639,5.22873,-0.701998,-0.763966,0.685078,0,0,0.685078,0.135078,0,0,0.135078
50,-1.26639,5.22873,0.185078,0,0,0.185078,-1.26165,5.3188,0.0175601,0.333419,0.685078,0,0,0.685078,0.135078,0,0,0.135078
51,-1.26165,5.3188,0.185078,0,0,0.185078,-1.60042,5.25342,-1.25396,-0.241995,0.685078,0,0,0.685078,0.135078,0,0,0.135078
52,-1.60042,5.25342,0.185078,0,0,0.185078,-2.14356,5.51506,-2.01047,0.968457,0.685078,0,0,0.685078,0.135078,0,0,0.135078
53,-2.14356,5.51506,0.185078,0,0,0.185078,-2.36971,5.3432,-0.837105,-0.636153,0.685078,0,0,0.685078,0.135078,0,0,0.135078
54,-2.36971,5.3432,0.185078,0,0,0.185078,-2.38898,5.52975,-0.0713517,0.690548,0.685078,0,0,0.685078,0.135078,0,0,0.135078
55,-2.38898,5.52975,0.185078,0,0,0.185078,-2.55198,5.76306,-0.603357,0.863594,0.685078,0,0,0.685078,0.135078,0,0,0.135078
56,-2.55198,5.76306,0.185078,0,0,0.185078,-2.14235,5.34896,1.5163,-1.5328,0.685078,0,0,0.685078,0.135078,0,0,0.135078
57,-2.14235,5.34896,0.185078,0,0,0.185078,-2.09458,5.38517,0.176812,0.134036,0.685078,0,0,0.685078,0.135078,0,0,0.135078
58,-2.09458,5.38517,0.185078,0,0,0.185078,-2.09383,5.15606,0.00278367,-0.848084,0.685078,0,0,0.685078,0.135078,0,0,0.135078
59,-2.09383,5.15606,0.185078,0,0,0.185078,-2.18912,4.86494,-0.352727,-1.0776,0.685078,0,0,0.685078,0.135078,0,0,0.135078
60,-2.18912,4.86494,0.185078,0,0,0.185078,-1.87778,4.37775,1.15243,-1.80337,0.685078,0,0,0.685078,0.135078,0,0,0.135078
61,-1.87778,4.37775,0.185078,0,0,0.185078,-1.72138,4.56562,0.578927,0.695411,0.685078,0,0,0.685078,0.135078,0,0,0.135078
62,-1.72138,4.56562,0.185078,0,0,0.185078,-1.51466,4.33036,0.765203,-0.870826,0.685078,0,0,0.685078,0.135078,0,0,0.135078
63,-1.51466,4.33036,0.185078,0,0,0.185078,-1.38242,4.04076,0.489488,-1.07197,0.685078,0,0,0.685078,0.135078,0,0,0.135078
64,-1.38242,4.04076,0.185078,0,0,0.185078,-1.138,4.18219,0.904749,0.523503,0.685078,0,0,0.685078,0.135078,0,0,0.135078
65,-1.138,4.18219,0.185078,0,0,0.185078,-1.05866,3.97778,0.293656,-0.756636,0.685078,0,0,0.685078,0.135078,0,0,0.135078
66,-1.05866,3.97778,0.185078,0,0,0.185078,-0.674247,3.72962,1.42294,-0.918579,0.685078,0,0,0.685078,0.135078,0,0,0.135078
67,-0.674247,3.72962,0.185078,0,0,0.185078,-1.14481,3.59917,-1.74183,-0.48284,0.685078,0,0,0.685078,0.135078,0,0,0.135078
68,-1.14481,3.59917,0.185078,0,0,0.185078,-1.01197,3.78216,0.491729,0.677337,0.685078,0,0,0.685078,0.135078,0,0,0.135078
69,-1.01197,3.78216,0.185078,0,0,0.185078,-0.991101,3.39508,0.0772459,-1.43282,0.685078,0,0,0.685078,0.135078,0,0,0.135078
70,-0.991101,3.39508,0.185078,0,0,0.185078,-0.619845,3.48717,1.37423,0.340903,0.685078,0,0,0.685078,0.135078,0,0,0.135078
71,-0.619845,3.48717,0.185078,0,0,0.185078,-1.09479,3.46805,-1.75803,-0.0708014,0.685078,0,0,0.685078,0.135078,0,0,0.135078
72,-1.09479,3.46805,0.185078,0,0,0.185078,-0.995041,3.1869,0.36922,-1.04068,0.685078,0,0,0.685078,0.135078,0,0,0.135078
73,-0.995041,3.1869,0.185078,0,0,0.185078,-1.38119,3.10897,-1.42935,-0.288459,0.685078,0,0,0.685078,0.135078,0,0,0.135078
74,-1.38119,3.10897,0.185078,0,0,0.185078,-1.54984,2.80588,-0.624286,-1.12189,0.685078,0,0,0.685078,0.135078,0,0,0.135078
75,-1.54984,2.80588,0.185078,0,0,0.185078,-1.98248,3.08358,-1.60143,1.02789,0.685078,0,0,0.685078,0.135078,0,0,0.135078
76,-1.98248,3.08358,0.185078,0,0,0.185078,-2.44803,3.24279,-1.72328,0.589347,0.685078,0,0,0.685078,0.135078,0,0,0.135078
77,-2.44803,3.24279,0.185078,0,0,0.185078,-2.7168,3.08278,-0.994847,-0.5923,0.685078,0,0,0.685078,0.135078,0,0,0.135078
78,-2.7168,3.08278,0.185078,0,0,0.185078,-3.08159,3.33115,-1.3503,0.919383,0.685078,0,0,0.685078,0.135078,0,0,0.135078
79,-3.08159,3.33115,0.185078,0,0,0.185078,-3.19915,3.66083,-0.435143,1.22032,0.685078,0,0,0.685078,0.135078,0,0,0.135078
80,-3.19915,3.66083,0.185078,0,0,0.185078,-3.33663,3.78874,-0.508921,0.473451,0.685078,0,0,0.685078,0.135078,0,0,0.135078
81,-3.33663,3.78874,0.185078,0,0,0.185078,-3.63793,3.71377,-1.11525,-0.277495,0.685078,0,0,0.685078,0.135078,0,0,0.135078
82,-3.63793,3.71377,0.185078,0,0,0.185078,-3.65051,3.74707,-0.0465887,0.123264,0.685078,0,0,0.685078,0.135078,0,0,0.135078
83,-3.65051,3.74707,0.185078,0,0,0.185078,-3.57647,4.01917,0.274086,1.00718,0.685078,0,0,0.685078,0.135078,0,0,0.135078
84,-3.57647,4.01917,0.185078,0,0,0.185078,-3.51547,4.06006,0.225788,0.151382,0.685078,0,0,0.685078,0.135078,0,0,0.135078
85,-3.51547,4.06006,0.185078,0,0,0.185078,-3.4051,4.28284,0.408542,0.824607,0.685078,0,0,0.685078,0.135078,0,0,0.135078
86,-3.4051,4.28284,0.185078,0,0,0.185078,-3.71665,4.31033,-1.15325,0.101781,0.685078,0,0,0.685078,0.135078,0,0,0.135078
87,-3.71665,4.31033,0.185078,0,0,0.185078,-3.58305,4.22239,0.49454,-0.325525,0.685078,0,0,0.685078,0.135078,0,0,0.135078
88,-3.58305,4.22239,0.185078,0,0,0.185078,-3.97131,4.25952,-1.43715,0.137436,0.685078,0,0,0.685078,0.135078,0,0,0.135078
89,-3.97131,4.25952,0.185078,0,0,0.185078,-4.32228,4.09555,-1.29913,-0.606928,0.685078,0,0,0.685078,0.135078,0,0,0.135078
90,-4.32228,4.09555,0.185078,0,0,0.185078,-4.54248,4.31808,-0.815089,0.823684,0.685078,0,0,0.685078,0.135078,0,0,0.135078
91,-4.54248,4.31808,0.185078,0,0,0.185078,-4.3829,4.10645,0.590683,-0.78336,0.685078,0,0,0.685078,0.135078,0,0,0.135078
92,-4.3829,4.10645,0.185078,0,0,0.185078,-4.67664,4.12512,-1.08731,0.0691066,0.685078,0,0,0.685078,0.135078,0,0,0.135078
93,-4.67664,4.12512,0.185078,0,0,0.185078,-4.35358,4.18101,1.19585,0.206907,0.685078,0,0,0.685078,0.135078,0,0,0.135078
94,-4.35358,4.18101,0.185078,0,0,0.185078,-4.59062,4.38425,-0.877407,0.752306,0.685078,0,0,0.685078,0.135078,0,0,0.135078
95,-4.59062,4.38425,0.185078,0,0,0.185078,-4.83454,4.06656,-0.902919,-1.17595,0.685078,0,0,0.685078,0.135078,0,0,0.135078
96,-4.83454,4.06656,0.185078,0,0,0.185078,-4.84862,3.84082,-0.0521174,-0.835591,0.685078,0,0,0.685078,0.135078,0,0,0.135078
97,-4.84862,3.84082,0.185078,0,0,0.185078,-4.64354,3.70186,0.759149,-0.514373,0.685078,0,0,0.685078,0.135078,0,0,0.135078
98,-4.64354,3.70186,0.185078,0,0,0.185078,-4.40938,3.67932,0.866736,-0.0834336,0.685078,0,0,0.685078,0.135078,0,0,0.135078
99,-4.40938,3.67932,0.185078,0,0,0.185078,-4.57344,3.45893,-0.60729,-0.815799,0.685078,0,0,0.685078,0.135078,0,0,0.135078
100,-4.57344,3.45893,0.185078,0,0,0.185078,-4.616,3.27045,-0.157531,-0.697662,0.685078,0,0,0.685078,0.135078,0,0,0.135078
101,-4.616,3.27045,0.185078,0,0,0.185078,-4.67244,2.5517,-0.208921,-2.66049,0.685078,0,0,0.685078,0.135078,0,0,0.135078
102,-4.67244,2.5517,0.185078,0,0,0.185078,-4.49057,2.30234,0.673211,-0.923031,0.685078,0,0,0.685078,0.135078,0,0,0.135078
103,-4.49057,2.30234,0.185078,0,0,0.185078,-4.39689,2.33053,0.346781,0.104341,0.685078,0,0,0.685078,0.135078,0,0,0.135078
104,-4.39689,2.33053,0.185078,0,0,0.185078,-4.54518,2.3432,-0.548933,0.0468882,0.685078,0,0,0.685078,0.135078,0,0,0.135078
