timestep,x_predicted_0,P_predicted_0_0,x_updated_0,innovation_0,S_0_0,P_updated_0_0
79,-2.74645,0.185078,-2.88043,-0.495965,0.685078,0.135078
80,-2.88043,0.185078,-3.07041,-0.70321,0.685078,0.135078
81,-3.07041,0.185078,-3.01334,0.211261,0.685078,0.135078
82,-3.01334,0.185078,-3.2087,-0.723165,0.685078,0.135078
83,-3.2087,0.185078,-3.3181,-0.404934,0.685078,0.135078
84,-3.3181,0.185078,-3.29833,0.0731793,0.685078,0.135078
85,-3.29833,0.185078,-3.51612,-0.806145,0.685078,0.135078
86,-3.51612,0.185078,-3.39536,0.446982,0.685078,0.135078
87,-3.39536,0.185078,-3.85664,-1.70745,0.685078,0.135078
88,-3.85664,0.185078,-4.20231,-1.27952,0.685078,0.135078
89,-4.20231,0.185078,-4.40292,-0.74257,0.685078,0.135078
90,-4.40292,0.185078,-4.34627,0.209696,0.685078,0.135078
91,-4.34627,0.185078,-4.41602,-0.258192,0.685078,0.135078
92,-4.41602,0.185078,-4.4692,-0.196835,0.685078,0.135078
93,-4.4692,0.185078,-5.07886,-2.25671,0.685078,0.135078
94,-5.07886,0.185078,-5.02845,0.186578,0.685078,0.135078
95,-5.02845,0.185078,-5.1215,-0.344419,0.685078,0.135078
96,-5.1215,0.185078,-5.45388,-1.23034,0.685078,0.135078
97,-5.45388,0.185078,-5.3388,0.425981,0.685078,0.135078
98,-5.3388,0.185078,-5.04538,1.08612,0.685078,0.135078
99,-5.04538,0.185078,-4.76802,1.02666,0.685078,0.135078
100,-4.76802,0.185078,-4.97636,-0.771165,0.685078,0.135078
101,-4.97636,0.185078,-4.27647,2.59067,0.685078,0.135078
102,-4.27647,0.185078,-4.33593,-0.220111,0.685078,0.135078
103,-4.33593,0.185078,-4.27371,0.230326,0.685078,0.135078
104,-4.27371,0.185078,-4.22748,0.171122,0.685078,0.135078
105,-4.22748,0.185078,-4.39304,-0.612842,0.685078,0.135078
106,-4.39304,0.185078,-4.4947,-0.376274,0.685078,0.135078
107,-4.4947,0.185078,-4.67621,-0.671886,0.685078,0.135078
108,-4.67621,0.185078,-5.06429,-1.4365,0.685078,0.135078
109,-5.06429,0.185078,-5.01007,0.200706,0.685078,0.135078
110,-5.01007,0.185078,-4.98083,0.108229,0.685078,0.135078
111,-4.98083,0.185078,-5.12626,-0.538311,0.685078,0.135078
112,-5.12626,0.185078,-5.0379,0.327071,0.685078,0.135078
113,-5.0379,0.185078,-5.01764,0.0749826,0.685078,0.135078
114,-5.01764,0.185078,-5.14548,-0.473207,0.685078,0.135078
115,-5.14548,0.185078,-5.17056,-0.0928204,0.685078,0.135078
116,-5.17056,0.185078,-5.28649,-0.429141,0.685078,0.135078
117,-5.28649,0.185078,-5.45484,-0.623168,0.685078,0.135078
118,-5.45484,0.185078,-5.63582,-0.669906,0.685078,0.135078
119,-5.63582,0.185078,-5.38553,0.926482,0.685078,0.135078
120,-5.38553,0.185078,-5.37288,0.0468012,0.685078,0.135078
121,-5.37288,0.185078,-5.31016,0.232189,0.685078,0.135078
122,-5.31016,0.185078,-5.13094,0.663381,0.685078,0.135078
123,-5.13094,0.185078,-4.93035,0.742487,0.685078,0.135078
124,-4.93035,0.185078,-4.86194,0.253231,0.685078,0.135078
125,-4.86194,0.185078,-4.70294,0.588565,0.685078,0.135078
126,-4.70294,0.185078,-5.1123,-1.5153,0.685078,0.135078
127,-5.1123,0.185078,-5.19446,-0.30409,0.685078,0.135078
128,-5.19446,0.185078,-5.47719,-1.04657,0.685078,0.135078
129,-5.47719,0.185078,-5.68711,-0.777038,0.685078,0.135078
130,-5.68711,0.185078,-5.94012,-0.936503,0.685078,0.135078
131,-5.94012,0.185078,-5.9923,-0.193146,0.685078,0.135078
132,-5.9923,0.185078,-5.77505,0.804144,0.685078,0.135078
133,-5.77505,0.185078,-5.66925,0.391632,0.685078,0.135078
134,-5.66925,0.185078,-5.53244,0.506403,0.685078,0.135078
135,-5.53244,0.185078,-5.53009,0.00869255,0.685078,0.135078
136,-5.53009,0.185078,-5.67338,-0.530379,0.685078,0.135078
137,-5.67338,0.185078,-5.78872,-0.426924,0.685078,0.135078
138,-5.78872,0.185078,-5.64049,0.548662,0.685078,0.135078
139,-5.64049,0.185078,-5.85718,-0.802087,0.685078,0.135078
140,-5.85718,0.185078,-5.88637,-0.108063,0.685078,0.135078
141,-5.88637,0.185078,-5.41436,1.74717,0.685078,0.135078
142,-5.41436,0.185078,-5.04923,1.35156,0.685078,0.135078
143,-5.04923,0.185078,-5.03768,0.0427544,0.685078,0.135078
144,-5.03768,0.185078,-4.69039,1.28552,0.685078,0.135078
145,-4.69039,0.185078,-4.5407,0.554089,0.685078,0.135078
146,-4.5407,0.185078,-4.23263,1.14034,0.685078,0.135078
147,-4.23263,0.185078,-3.97845,0.940875,0.685078,0.135078
148,-3.97845,0.185078,-3.98716,-0.0322443,0.685078,0.135078
149,-3.98716,0.185078,-4.28282,-1.0944,0.685078,0.135078
150,-4.28282,0.185078,-3.78807,1.83134,0.685078,0.135078
151,-3.78807,0.185078,-3.67423,0.42138,0.685078,0.135078
152,-3.67423,0.185078,-3.73748,-0.23414,0.685078,0.135078
153,-3.73748,0.185078,-3.68452,0.196053,0.685078,0.135078
154,-3.68452,0.185078,-3.66022,0.08994,0.685078,0.135078
155,-3.66022,0.185078,-3.82352,-0.604447,0.685078,0.135078
156,-3.82352,0.185078,-3.8294,-0.0217723,0.685078,0.135078
157,-3.8294,0.185078,-3.88043,-0.188893,0.685078,0.135078
158,-3.88043,0.185078,-3.58963,1.0764,0.685078,0.135078
159,-3.58963,0.185078,-3.30354,1.05901,0.685078,0.135078
160,-3.30354,0.185078,-2.93398,1.36792,0.685078,0.135078
161,-2.93398,0.185078,-2.6937,0.889443,0.685078,0.135078
162,-2.6937,0.185078,-2.74605,-0.193804,0.685078,0.135078
163,-2.74605,0.185078,-3.26112,-1.90657,0.685078,0.135078
164,-3.26112,0.185078,-3.57942,-1.1782,0.685078,0.135078
165,-3.57942,0.185078,-3.53234,0.174283,0.685078,0.135078
166,-3.53234,0.185078,-3.86061,-1.21513,0.685078,0.135078
167,-3.86061,0.185078,-3.98939,-0.476684,0.685078,0.135078
168,-3.98939,0.185078,-4.07363,-0.311797,0.685078,0.135078
169,-4.07363,0.185078,-3.85477,0.810132,0.685078,0.135078
170,-3.85477,0.185078,-3.92267,-0.251344,0.685078,0.135078
171,-3.92267,0.185078,-4.30094,-1.40021,0.685078,0.135078
172,-4.30094,0.185078,-4.43348,-0.49059,0.685078,0.135078
173,-4.43348,0.185078,-4.4128,0.0765669,0.685078,0.135078
174,-4.4128,0.185078,-4.19076,0.821879,0.685078,0.135078
175,-4.19076,0.185078,-4.22104,-0.112085,0.685078,0.135078
176,-4.22104,0.185078,-4.25422,-0.122823,0.685078,0.135078
177,-4.25422,0.185078,-4.4328,-0.661038,0.685078,0.135078
178,-4.4328,0.185078,-4.75134,-1.17908,0.685078,0.135078
179,-4.75134,0.185078,-4.50554,0.90985,0.685078,0.135078
180,-4.50554,0.185078,-4.21634,1.07049,0.685078,0.135078
181,-4.21634,0.185078,-4.55055,-1.23709,0.685078,0.135078
182,-4.55055,0.185078,-4.27203,1.03096,0.685078,0.135078
183,-4.27203,0.185078,-4.35558,-0.309264,0.685078,0.135078
184,-4.35558,0.185078,-4.40913,-0.198229,0.685078,0.135078
185,-4.40913,0.185078,-4.48805,-0.292131,0.685078,0.135078
186,-4.48805,0.185078,-4.41539,0.268967,0.685078,0.135078
187,-4.41539,0.185078,-4.03109,1.42249,0.685078,0.135078
188,-4.03109,0.185078,-3.96663,0.238615,0.685078,0.135078
189,-3.96663,0.185078,-4.07617,-0.405475,0.685078,0.135078
190,-4.07617,0.185078,-3.91974,0.579042,0.685078,0.135078
191,-3.91974,0.185078,-3.85718,0.23156,0.685078,0.135078
192,-3.85718,0.185078,-4.1534,-1.09648,0.685078,0.135078
193,-4.1534,0.185078,-3.82787,1.20497,0.685078,0.135078
194,-3.82787,0.185078,-3.54393,1.05104,0.685078,0.135078
195,-3.54393,0.185078,-3.47119,0.269261,0.685078,0.135078
196,-3.47119,0.185078,-3.5934,-0.452372,0.685078,0.135078
197,-3.5934,0.185078,-3.59105,0.00868348,0.685078,0.135078
198,-3.59105,0.185078,-3.59873,-0.0284341,0.685078,0.135078
199,-3.59873,0.185078,-3.24304,1.31662,0.685078,0.135078
200,-3.24304,0.185078,-3.09456,0.549586,0.685078,0.135078
201,-3.09456,0.185078,-3.06193,0.1208,0.685078,0.135078
202,-3.06193,0.185078,-3.38523,-1.19672,0.685078,0.135078
203,-3.38523,0.185078,-2.79193,2.19615,0.685078,0.135078
204,-2.79193,0.185078,-2.75838,0.124157,0.685078,0.135078
205,-2.75838,0.185078,-3.02393,-0.98293,0.685078,0.135078
206,-3.02393,0.185078,-3.14998,-0.466597,0.685078,0.135078
207,-3.14998,0.185078,-3.16225,-0.0454209,0.685078,0.135078
208,-3.16225,0.185078,-2.33004,3.08048,0.685078,0.135078
209,-2.33004,0.185078,-2.19853,0.486791,0.685078,0.135078
210,-2.19853,0.185078,-2.16086,0.139447,0.685078,0.135078
211,-2.16086,0.185078,-2.01889,0.525521,0.685078,0.135078
212,-2.01889,0.185078,-2.28311,-0.978037,0.685078,0.135078
213,-2.28311,0.185078,-1.90749,1.39038,0.685078,0.135078
214,-1.90749,0.185078,-2.21944,-1.15469,0.685078,0.135078
215,-2.21944,0.185078,-2.2706,-0.189374,0.685078,0.135078
216,-2.2706,0.185078,-2.10765,0.60316,0.685078,0.135078
217,-2.10765,0.185078,-2.33972,-0.859032,0.685078,0.135078
218,-2.33972,0.185078,-2.49352,-0.569277,0.685078,0.135078
219,-2.49352,0.185078,-2.60662,-0.418663,0.685078,0.135078
220,-2.60662,0.185078,-2.54556,0.226029,0.685078,0.135078
221,-2.54556,0.185078,-2.41045,0.500115,0.685078,0.135078
222,-2.41045,0.185078,-2.38561,0.0919411,0.685078,0.135078
223,-2.38561,0.185078,-2.56076,-0.648306,0.685078,0.135078
224,-2.56076,0.185078,-2.89723,-1.24549,0.685078,0.135078
225,-2.89723,0.185078,-3.21127,-1.16242,0.685078,0.135078
226,-3.21127,0.185078,-3.23902,-0.102718,0.685078,0.135078
227,-3.23902,0.185078,-2.99595,0.899752,0.685078,0.135078
228,-2.99595,0.185078,-3.05297,-0.211064,0.685078,0.135078
229,-3.05297,0.185078,-2.88823,0.60978,0.685078,0.135078
230,-2.88823,0.185078,-3.35545,-1.72946,0.685078,0.135078
231,-3.35545,0.185078,-2.9464,1.51415,0.685078,0.135078
232,-2.9464,0.185078,-3.27141,-1.20305,0.685078,0.135078
233,-3.27141,0.185078,-3.37488,-0.382994,0.685078,0.135078
234,-3.37488,0.185078,-3.26279,0.414889,0.685078,0.135078
235,-3.26279,0.185078,-3.37201,-0.404296,0.685078,0.135078
236,-3.37201,0.185078,-3.52257,-0.557299,0.685078,0.135078
237,-3.52257,0.185078,-3.46583,0.210026,0.685078,0.135078
238,-3.46583,0.185078,-3.48327,-0.0645545,0.685078,0.135078
239,-3.48327,0.185078,-3.61194,-0.476292,0.685078,0.135078
240,-3.61194,0.185078,-3.36624,0.909493,0.685078,0.135078
241,-3.36624,0.185078,-3.14638,0.813806,0.685078,0.135078
242,-3.14638,0.185078,-3.2353,-0.32912,0.685078,0.135078
243,-3.2353,0.185078,-2.57411,2.44742,0.685078,0.135078
244,-2.57411,0.185078,-2.09015,1.79143,0.685078,0.135078
245,-2.09015,0.185078,-2.13492,-0.165742,0.685078,0.135078
246,-2.13492,0.185078,-2.01333,0.450083,0.685078,0.135078
247,-2.01333,0.185078,-2.14922,-0.502998,0.685078,0.135078
248,-2.14922,0.185078,-2.27307,-0.458427,0.685078,0.135078
249,-2.27307,0.185078,-2.12574,0.545336,0.685078,0.135078
250,-2.12574,0.185078,-2.09705,0.106191,0.685078,0.135078
251,-2.09705,0.185078,-1.68661,1.51928,0.685078,0.135078
252,-1.68661,0.185078,-1.74714,-0.224078,0.685078,0.135078
253,-1.74714,0.185078,-2.09313,-1.2807,0.685078,0.135078
254,-2.09313,0.185078,-2.56226,-1.73651,0.685078,0.135078
255,-2.56226,0.185078,-2.66699,-0.387673,0.685078,0.135078
256,-2.66699,0.185078,-2.57248,0.349843,0.685078,0.135078
257,-2.57248,0.185078,-2.65408,-0.302041,0.685078,0.135078
258,-2.65408,0.185078,-2.50082,0.567307,0.685078,0.135078
259,-2.50082,0.185078,-2.57764,-0.284344,0.685078,0.135078
260,-2.57764,0.185078,-2.66673,-0.329781,0.685078,0.135078
261,-2.66673,0.185078,-2.64563,0.0780764,0.685078,0.135078
262,-2.64563,0.185078,-2.76352,-0.436343,0.685078,0.135078
263,-2.76352,0.185078,-2.90653,-0.529378,0.685078,0.135078
264,-2.90653,0.185078,-2.63444,1.00717,0.685078,0.135078
265,-2.63444,0.185078,-2.97038,-1.24353,0.685078,0.135078
266,-2.97038,0.185078,-2.90852,0.228993,0.685078,0.135078
267,-2.90852,0.185078,-2.98369,-0.278251,0.685078,0.135078
268,-2.98369,0.185078,-3.06776,-0.311203,0.685078,0.135078
269,-3.06776,0.185078,-2.96606,0.376473,0.685078,0.135078
270,-2.96606,0.185078,-2.69351,1.00884,0.685078,0.135078
271,-2.69351,0.185078,-2.53927,0.570953,0.685078,0.135078
272,-2.53927,0.185078,-2.33003,0.774485,0.685078,0.135078
273,-2.33003,0.185078,-2.04427,1.05776,0.685078,0.135078
274,-2.04427,0.185078,-2.14509,-0.373173,0.685078,0.135078
275,-2.14509,0.185078,-2.06323,0.302989,0.685078,0.135078
276,-2.06323,0.185078,-2.30065,-0.878797,0.685078,0.135078
277,-2.30065,0.185078,-2.50979,-0.774176,0.685078,0.135078
278,-2.50979,0.185078,-2.4828,0.0999269,0.685078,0.135078
279,-2.4828,0.185078,-2.85864,-1.39121,0.685078,0.135078
280,-2.85864,0.185078,-2.83033,0.104799,0.685078,0.135078
281,-2.83033,0.185078,-2.75601,0.275096,0.685078,0.135078
282,-2.75601,0.185078,-2.69543,0.224264,0.685078,0.135078
283,-2.69543,0.185078,-2.84874,-0.567512,0.685078,0.135078
284,-2.84874,0.185078,-2.95973,-0.410836,0.685078,0.135078
285,-2.95973,0.185078,-2.92997,0.110155,0.685078,0.135078
286,-2.92997,0.185078,-3.21249,-1.04577,0.685078,0.135078
287,-3.21249,0.185078,-3.03472,0.658026,0.685078,0.135078
288,-3.03472,0.185078,-2.93224,0.379354,0.685078,0.135078
289,-2.93224,0.185078,-3.11749,-0.685732,0.685078,0.135078
290,-3.11749,0.185078,-3.35739,-0.887994,0.685078,0.135078
291,-3.35739,0.185078,-3.66405,-1.13512,0.685078,0.135078
292,-3.66405,0.185078,-3.61536,0.18024,0.685078,0.135078
293,-3.61536,0.185078,-3.60883,0.0241648,0.685078,0.135078
