timestep,x_smoothed_0,P_smoothed_0_0
198,-3.21093,0.0780869
199,-3.06738,0.0780869
200,-3.00236,0.0780869
201,-2.96822,0.0780869
202,-2.93354,0.0780869
203,-2.76634,0.0780869
204,-2.75687,0.0780869
205,-2.75631,0.0780869
206,-2.65725,0.0780869
207,-2.47487,0.0780869
208,-2.22043,0.0780869
209,-2.17985,0.0780869
210,-2.17294,0.0780869
211,-2.17741,0.0780869
212,-2.23609,0.0780869
213,-2.21868,0.0780869
214,-2.33387,0.0780869
215,-2.37622,0.0780869
216,-2.41532,0.0780869
217,-2.5292,0.0780869
218,-2.59934,0.0780869
219,-2.63851,0.0780869
220,-2.65031,0.0780869
221,-2.68909,0.0780869
222,-2.79223,0.0780869
223,-2.94274,0.0780869
224,-3.08414,0.0780869
225,-3.15332,0.0780869
226,-3.13187,0.0780869
227,-3.09221,0.0780869
228,-3.12785,0.0780869
229,-3.15556,0.0780869
230,-3.25452,0.0780869
231,-3.21716,0.0780869
232,-3.31738,0.0780869
233,-3.33439,0.0780869
234,-3.31941,0.0780869
235,-3.34037,0.0780869
236,-3.32866,0.0780869
237,-3.25688,0.0780869
238,-3.17953,0.0780869
239,-3.0671,0.0780869
240,-2.86542,0.0780869
241,-2.68004,0.0780869
242,-2.50742,0.0780869
243,-2.23799,0.0780869
244,-2.11358,0.0780869
245,-2.12225,0.0780869
246,-2.11755,0.0780869
247,-2.15613,0.0780869
248,-2.15869,0.0780869
249,-2.11636,0.0780869
250,-2.11289,0.0780869
251,-2.11875,0.0780869
252,-2.27871,0.0780869
253,-2.47547,0.0780869
254,-2.61699,0.0780869
255,-2.63725,0.0780869
256,-2.62624,0.0780869
257,-2.64614,0.0780869
258,-2.6432,0.0780869
259,-2.6959,0.0780869
260,-2.73967,0.0780869
261,-2.76667,0.0780869
262,-2.81148,0.0780869
263,-2.82923,0.0780869
264,-2.80062,0.0780869
265,-2.86213,0.0780869
266,-2.82206,0.0780869
267,-2.79006,0.0780869
268,-2.71838,0.0780869
269,-2.58905,0.0780869
270,-2.4495,0.0780869
271,-2.35918,0.0780869
272,-2.29252,0.0780869
273,-2.27864,0.0780869
274,-2.36539,0.0780869
275,-2.44693,0.0780869
276,-2.58896,0.0780869
277,-2.69569,0.0780869
278,-2.7645,0.0780869
279,-2.86877,0.0780869
280,-2.87252,0.0780869
281,-2.88813,0.0780869
282,-2.93703,0.0780869
283,-3.02647,0.0780869
284,-3.09225,0.0780869
285,-3.1413,0.0780869
286,-3.21953,0.0780869
287,-3.22213,0.0780869
288,-3.2915,0.0780869
289,-3.42448,0.0780869
290,-3.53812,0.0780869
291,-3.60502,0.0780869
292,-3.58316,0.0780869
293,-3.57125,0.0780869
294,-3.55734,0.0780869
295,-3.63947,0.0780869
296,-3.58029,0.0780869
297,-3.43803,0.0780869
298,-3.34356,0.0780869
299,-3.38128,0.0780869
300,-3.34697,0.0780869
301,-3.32784,0.0780869
302,-3.27011,0.0780869
303,-3.22862,0.0780869
304,-3.24346,0.0780869
305,-3.23762,0.0780869
306,-3.14389,0.0780869
307,-3.1534,0.0780869
308,-3.11801,0.0780869
309,-3.09492,0.0780869
310,-3.12254,0.0780869
311,-3.11015,0.0780869
312,-3.13507,0.0780869
313,-3.09159,0.0780869
314,-3.02529,0.0780869
315,-3.01699,0.0780869
316,-3.00325,0.0780869
317,-2.8861,0.0780869
318,-2.80699,0.0780869
319,-2.7835,0.0780869
320,-2.75897,0.0780869
321,-2.67584,0.0780869
322,-2.60354,0.0780869
323,-2.49581,0.0780869
324,-2.48802,0.0780869
325,-2.4679,0.0780869
326,-2.49225,0.0780869
327,-2.53871,0.0780869
328,-2.5673,0.0780869
329,-2.52391,0.0780869
330,-2.51556,0.0780869
331,-2.53719,0.0780869
332,-2.61993,0.0780869
333,-2.71989,0.0780869
334,-2.76079,0.0780869
335,-2.75824,0.0780869
336,-2.74573,0.0780869
337,-2.70804,0.0780869
338,-2.65166,0.0780869
339,-2.72365,0.0780869
340,-2.75571,0.0780869
341,-2.81305,0.0780869
342,-2.75885,0.0780869
343,-2.72131,0.0780869
344,-2.79735,0.0780869
345,-2.96919,0.0780869
346,-3.04847,0.0780869
347,-2.97274,0.0780869
348,-3.03042,0.0780869
349,-2.90777,0.0780869
350,-2.73221,0.0780869
351,-2.61003,0.0780869
352,-2.46422,0.0780869
353,-2.41884,0.0780869
354,-2.24246,0.0780869
355,-2.10787,0.0780869
356,-2.01944,0.0780869
357,-2.00697,0.0780869
358,-1.95581,0.0780869
359,-1.90449,0.0780869
360,-1.86703,0.0780869
361,-1.83396,0.0780869
362,-1.86333,0.0780869
363,-1.91257,0.0780869
364,-1.93283,0.0780869
365,-1.89213,0.0780869
366,-1.81454,0.0780869
367,-1.77896,0.0780869
368,-1.69714,0.0780869
369,-1.56849,0.0780869
370,-1.46978,0.0780869
371,-1.39183,0.0780869
372,-1.38178,0.0780869
373,-1.38272,0.0780869
374,-1.36778,0.0780869
375,-1.30546,0.0780869
376,-1.32023,0.0780869
377,-1.26326,0.0780869
378,-1.14091,0.0780869
379,-1.1391,0.0780869
380,-1.18336,0.0780869
381,-1.18577,0.0780869
382,-1.04088,0.0780869
383,-0.980997,0.0780869
384,-1.0156,0.0780869
385,-0.952668,0.0780869
386,-0.935272,0.0780869
387,-0.904636,0.0780869
388,-0.907022,0.0780869
389,-0.791018,0.0780869
390,-0.715169,0.0780869
391,-0.564163,0.0780869
392,-0.414623,0.0780869
393,-0.290341,0.0780869
394,-0.271236,0.0780869
395,-0.270941,0.0780869
396,-0.307631,0.0780869
397,-0.342852,0.0780869
398,-0.349101,0.0780869
399,-0.312766,0.0780869
400,-0.296483,0.0780869
401,-0.199936,0.0780869
402,-0.105102,0.0780869
403,0.0827283,0.0780869
404,0.246062,0.0780869
405,0.40753,0.0780869
